[DEBUG] 2019-10-16 19:42:22.595 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-16 19:42:22.599 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-16 19:42:22.602 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-16 19:42:22.663 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-16 19:42:22.665 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-16 19:42:22.818 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-16 19:42:22.819 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-16 19:42:22.822 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-16 19:42:23.101 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-16 19:42:23.122 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-16 19:42:23.122 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 2019-10-16 19:42:23.490 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@53ac845a
[DEBUG] 2019-10-16 19:42:23.510 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3cee53dc
[DEBUG] 2019-10-16 19:42:23.510 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3cee53dc
[DEBUG] 2019-10-16 19:42:23.512 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@79b08632
[DEBUG] 2019-10-16 19:42:23.512 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@79b08632
[DEBUG] 2019-10-16 19:42:23.514 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5cbd159f
[DEBUG] 2019-10-16 19:42:23.514 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5cbd159f
[DEBUG] 2019-10-16 19:42:23.515 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@ba354ca
[DEBUG] 2019-10-16 19:42:23.515 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@ba354ca
[DEBUG] 2019-10-16 19:42:23.516 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@d56aaa6
[DEBUG] 2019-10-16 19:42:23.516 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@d56aaa6
[DEBUG] 2019-10-16 19:42:23.517 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@5109e8cf
[DEBUG] 2019-10-16 19:42:23.517 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@5109e8cf
[DEBUG] 2019-10-16 19:42:23.520 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@5109e8cf
[DEBUG] 2019-10-16 19:42:23.522 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@327c7bea
[DEBUG] 2019-10-16 19:42:23.523 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@252f626c
[DEBUG] 2019-10-16 19:42:23.523 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@252f626c
[DEBUG] 2019-10-16 19:42:23.523 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@252f626c
[DEBUG] 2019-10-16 19:42:23.524 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@74075134
[DEBUG] 2019-10-16 19:42:23.524 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@8d7b252
[DEBUG] 2019-10-16 19:42:23.524 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@8d7b252
[DEBUG] 2019-10-16 19:42:23.526 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@238acd0b
[DEBUG] 2019-10-16 19:42:23.526 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@238acd0b
[DEBUG] 2019-10-16 19:42:23.526 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@15ac59c2
[DEBUG] 2019-10-16 19:42:23.526 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@15ac59c2
[DEBUG] 2019-10-16 19:42:23.527 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@25c53f74
[DEBUG] 2019-10-16 19:42:23.527 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@25c53f74
[DEBUG] 2019-10-16 19:42:23.528 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@8bffb8b
[DEBUG] 2019-10-16 19:42:23.528 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@8bffb8b
[DEBUG] 2019-10-16 19:42:23.528 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@692fd26
[DEBUG] 2019-10-16 19:42:23.529 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@627d8516
[DEBUG] 2019-10-16 19:42:23.529 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@627d8516
[DEBUG] 2019-10-16 19:42:23.529 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@627d8516
[DEBUG] 2019-10-16 19:42:23.529 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@4e31c3ec
[DEBUG] 2019-10-16 19:42:23.530 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@4e31c3ec
[DEBUG] 2019-10-16 19:42:23.530 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@4e31c3ec
[DEBUG] 2019-10-16 19:42:23.530 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@39e67516
[DEBUG] 2019-10-16 19:42:23.531 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@18eec010
[DEBUG] 2019-10-16 19:42:23.531 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@1d61c6dc
[DEBUG] 2019-10-16 19:42:23.531 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@1d61c6dc
[DEBUG] 2019-10-16 19:42:23.531 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@1d61c6dc
[DEBUG] 2019-10-16 19:42:23.532 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@26f7cdf8
[DEBUG] 2019-10-16 19:42:23.532 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@26f7cdf8
[DEBUG] 2019-10-16 19:42:23.532 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@26f7cdf8
[DEBUG] 2019-10-16 19:42:23.532 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@4f824872
[DEBUG] 2019-10-16 19:42:23.533 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@3506d826
[DEBUG] 2019-10-16 19:42:23.534 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@2aeefcc
[DEBUG] 2019-10-16 19:42:23.534 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@2aeefcc
[DEBUG] 2019-10-16 19:42:23.535 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@7ae9a33a
[DEBUG] 2019-10-16 19:42:23.535 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@29528a22
[DEBUG] 2019-10-16 19:42:23.536 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@29528a22
[DEBUG] 2019-10-16 19:42:23.537 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@30501e60
[DEBUG] 2019-10-16 19:42:23.537 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@30501e60
[DEBUG] 2019-10-16 19:42:23.537 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@4cb0a000
[DEBUG] 2019-10-16 19:42:23.538 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@2dddc1b9
[DEBUG] 2019-10-16 19:42:23.539 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@5bcb04cb
[DEBUG] 2019-10-16 19:42:23.541 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@d5ce97f
[DEBUG] 2019-10-16 19:42:23.541 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@d5ce97f
[DEBUG] 2019-10-16 19:42:23.541 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@2f04105
[DEBUG] 2019-10-16 19:42:23.541 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@309028af
[DEBUG] 2019-10-16 19:42:23.542 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@724c5cbe
[DEBUG] 2019-10-16 19:42:23.542 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@70101687
[DEBUG] 2019-10-16 19:42:23.542 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@70e889e9
[DEBUG] 2019-10-16 19:42:23.542 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@418c020b
[DEBUG] 2019-10-16 19:42:23.542 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@51351f28
[DEBUG] 2019-10-16 19:42:23.542 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@21618fa7
[DEBUG] 2019-10-16 19:42:23.573 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2019-10-16 19:42:23.574 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2019-10-16 19:42:23.574 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2019-10-16 19:42:23.574 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2019-10-16 19:42:23.575 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2019-10-16 19:42:23.576 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2019-10-16 19:42:23.576 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2019-10-16 19:42:23.577 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2019-10-16 19:42:23.578 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2019-10-16 19:42:23.578 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2019-10-16 19:42:23.579 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2019-10-16 19:42:23.579 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2019-10-16 19:42:23.579 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2019-10-16 19:42:23.590 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2019-10-16 19:42:23.594 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/dqtravelspotsdb
[INFO ] 2019-10-16 19:42:23.595 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2019-10-16 19:42:23.595 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2019-10-16 19:42:23.684 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2019-10-16 19:42:24.397 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.17
      major : 8
      minor : 0
[DEBUG] 2019-10-16 19:42:24.398 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.16 (Revision: 34cbc6bc61f72836e26327537a432d6db7c77de6)
      major : 8
      minor : 0
[DEBUG] 2019-10-16 19:42:24.398 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2019-10-16 19:42:24.437 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2019-10-16 19:42:24.452 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2019-10-16 19:42:24.481 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [LOWER]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2019-10-16 19:42:24.508 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2019-10-16 19:42:24.511 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@6c3659be] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@522bf64e]
[DEBUG] 2019-10-16 19:42:24.585 [main] AnnotationBinder - Binding entity from annotated class: dqtravelspots.entity.User
[DEBUG] 2019-10-16 19:42:24.606 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2019-10-16 19:42:24.611 [main] EntityBinder - Import with entity name User
[DEBUG] 2019-10-16 19:42:24.613 [main] EntityBinder - Bind entity dqtravelspots.entity.User on table user
[DEBUG] 2019-10-16 19:42:24.632 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-16 19:42:24.634 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2019-10-16 19:42:24.636 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [dqtravelspots.entity.User:id]
[DEBUG] 2019-10-16 19:42:24.638 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2019-10-16 19:42:24.640 [main] PropertyBinder - Building property id
[DEBUG] 2019-10-16 19:42:24.643 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2019-10-16 19:42:24.645 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2019-10-16 19:42:24.645 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=Usertrips, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-16 19:42:24.647 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=null, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-16 19:42:24.655 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=element, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-16 19:42:24.656 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=Usertrips_KEY, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-16 19:42:24.656 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='Usertrips_KEY', referencedColumn='null', mappedBy='null'}
[DEBUG] 2019-10-16 19:42:24.657 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2019-10-16 19:42:24.657 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
[DEBUG] 2019-10-16 19:42:24.658 [main] CollectionBinder - Collection role: dqtravelspots.entity.User.Usertrips
[DEBUG] 2019-10-16 19:42:24.660 [main] PropertyBinder - Building property Usertrips
[DEBUG] 2019-10-16 19:42:24.661 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=date_registered, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-16 19:42:24.661 [main] PropertyBinder - MetadataSourceProcessor property dateRegistered with lazy=false
[DEBUG] 2019-10-16 19:42:24.661 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [dqtravelspots.entity.User:dateRegistered]
[DEBUG] 2019-10-16 19:42:24.661 [main] SimpleValueBinder - building SimpleValue for dateRegistered
[DEBUG] 2019-10-16 19:42:24.661 [main] PropertyBinder - Building property dateRegistered
[DEBUG] 2019-10-16 19:42:24.661 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=email, insertable=true, updatable=true, unique=false}
[DEBUG] 2019-10-16 19:42:24.661 [main] PropertyBinder - MetadataSourceProcessor property email with lazy=false
[DEBUG] 2019-10-16 19:42:24.661 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [dqtravelspots.entity.User:email]
